Step,num_cops,num_crimes_committed,num_arrests_made,tax_rate,total_stolen,total_trade_income,avg_wealth,total_wealth,avg_crime_perception,vote_outcome,param,value
0,5.0,34.0,6.0,0.05,76.04804115756463,4.652698545137254,4.565868068817212,228.29340344086057,0.25566666666666665,0.0,election frequency,10
1,5.0,58.0,10.0,0.05,135.52676369185758,12.254111078514509,4.108497724964633,205.42488624823162,0.341,0.0,election frequency,10
2,5.0,66.0,10.0,0.05,161.53494617205075,17.177923622090212,3.957521399219022,197.87606996095107,0.325,0.0,election frequency,10
3,5.0,86.0,13.0,0.05,223.2756579987515,18.83057253260188,3.596496941139493,179.8248470569746,0.3443333333333334,0.0,election frequency,10
4,5.0,100.0,14.0,0.05,251.2895381795954,26.021414880554637,3.4999753752712217,174.9987687635611,0.3373333333333333,0.0,election frequency,10
5,5.0,106.0,14.0,0.05,267.5614227144347,32.14606732151203,3.3943796761579326,169.71898380789662,0.3043333333333333,0.0,election frequency,10
6,5.0,122.0,15.0,0.05,299.5664902985425,39.23097144872501,3.2291374409501064,161.45687204750533,0.31566666666666665,0.0,election frequency,10
7,5.0,128.0,18.0,0.05,308.7439263102078,42.634227442737114,2.9543265836083448,147.7163291804172,0.354,0.0,election frequency,10
8,5.0,136.0,21.0,0.05,315.5360641336332,49.826502321229505,2.8297606896332788,141.48803448166393,0.42599999999999993,0.0,election frequency,10
9,5.0,144.0,23.0,0.05,342.1720079435253,57.20824505379093,2.5079063891441837,125.39531945720925,0.48200000000000004,20.0,election frequency,10
10,6.0,148.0,25.0,0.060000000000000005,347.48339313898964,61.42449414136757,2.2119655171718127,110.59827585859067,0.5173333333333333,0.0,election frequency,10
11,6.0,152.0,25.0,0.060000000000000005,350.4490850240645,65.64410114417699,2.1299551267887242,106.49775633943621,0.5173333333333333,0.0,election frequency,10
12,6.0,158.0,25.0,0.060000000000000005,365.20923098861635,66.05818324110832,2.0005115142545606,100.02557571272806,0.5173333333333333,0.0,election frequency,10
13,6.0,160.0,26.0,0.060000000000000005,367.49361185958537,68.93375486997381,1.8809108762507953,94.04554381253976,0.523,0.0,election frequency,10
14,6.0,162.0,26.0,0.060000000000000005,368.5998443762078,75.92871506843258,1.8532363657625188,92.66181828812594,0.518,0.0,election frequency,10
15,6.0,164.0,27.0,0.060000000000000005,369.03925982427427,81.06010688928893,1.7490272048225088,87.45136024112544,0.524,0.0,election frequency,10
16,6.0,166.0,27.0,0.060000000000000005,369.8064659101369,92.46779786782686,1.7835632283135368,89.17816141567685,0.524,0.0,election frequency,10
17,6.0,170.0,27.0,0.060000000000000005,385.12183488943947,98.56749370837622,1.7446061683203182,87.2303084160159,0.52,0.0,election frequency,10
18,6.0,170.0,28.0,0.060000000000000005,385.12183488943947,105.77900447925686,1.6363690743452226,81.81845371726112,0.544,0.0,election frequency,10
19,6.0,170.0,28.0,0.060000000000000005,385.12183488943947,112.05433757475444,1.6151995435480868,80.75997717740434,0.544,24.0,election frequency,10
20,7.000000000000001,174.0,28.0,0.07,386.5610722984934,116.93725844074436,1.5769081568838308,78.84540784419157,0.544,0.0,election frequency,10
21,7.000000000000001,176.0,28.0,0.07,390.967645730665,122.3551800051589,1.5295819614505095,76.4790980725255,0.544,0.0,election frequency,10
22,7.000000000000001,176.0,28.0,0.07,390.967645730665,131.62897801902557,1.5353700229593452,76.76850114796727,0.544,0.0,election frequency,10
23,7.000000000000001,176.0,28.0,0.07,390.967645730665,141.10821942670174,1.5427308301606513,77.13654150803258,0.544,0.0,election frequency,10
24,7.000000000000001,178.0,28.0,0.07,392.21972363427085,147.0313187014654,1.5059054505907448,75.29527252953724,0.544,0.0,election frequency,10
25,7.000000000000001,178.0,29.0,0.07,392.21972363427085,155.3782341595202,1.434633983407249,71.73169917036243,0.556,0.0,election frequency,10
26,7.000000000000001,180.0,29.0,0.07,392.8195436264315,164.50219719075514,1.4444958062782536,72.22479031391268,0.5559999999999999,0.0,election frequency,10
27,7.000000000000001,182.0,30.0,0.07,394.3404867497884,173.66768011635997,1.3665573833394862,68.3278691669743,0.5720000000000001,0.0,election frequency,10
