Step,num_cops,num_crimes_committed,num_arrests_made,tax_rate,total_stolen,total_trade_income,avg_wealth,total_wealth,avg_crime_perception,vote_outcome,param,value
0,5.0,34.0,5.0,0.05,82.24178174061215,0.0,4.351599227633132,217.57996138165663,0.23166666666666663,0.0,prosperity,0.01
1,5.0,58.0,8.0,0.05,149.86373951051598,3.5789943237138164,3.906573993637898,195.32869968189488,0.27399999999999997,0.0,prosperity,0.01
2,5.0,76.0,9.0,0.05,203.78110336830997,7.616268796156674,3.6639871605850374,183.19935802925187,0.26266666666666666,0.0,prosperity,0.01
3,5.0,96.0,13.0,0.05,243.90429302504998,10.546501770444966,3.1226469546689084,156.13234773344536,0.3203333333333333,0.0,prosperity,0.01
4,5.0,104.0,13.0,0.05,256.68997272371524,13.336221197048408,2.9996852926638415,149.98426463319205,0.317,0.0,prosperity,0.01
5,5.0,118.0,14.0,0.05,302.0628233117354,14.976621122356145,2.5133243718176477,125.66621859088242,0.31299999999999994,0.0,prosperity,0.01
6,5.0,122.0,16.0,0.05,304.96581506049887,19.070081451447493,2.3678921874716385,118.39460937358194,0.35300000000000004,0.0,prosperity,0.01
7,5.0,126.0,17.0,0.05,315.11854488345733,28.360313171964044,2.214259889973555,110.71299449867779,0.37300000000000005,0.0,prosperity,0.01
8,5.0,136.0,17.0,0.05,326.20788660863894,32.64210632569748,2.1511118391613366,107.55559195806686,0.36733333333333335,0.0,prosperity,0.01
9,5.0,142.0,22.0,0.05,331.06721825138374,36.21074796238624,1.6633244461827241,83.16622230913623,0.514,0.0,prosperity,0.01
10,5.0,142.0,22.0,0.05,331.06721825138374,38.27478794918705,1.6056729772291678,80.28364886145839,0.514,0.0,prosperity,0.01
11,5.0,142.0,22.0,0.05,331.06721825138374,41.47788835897293,1.5653156501683168,78.26578250841587,0.514,0.0,prosperity,0.01
12,5.0,142.0,22.0,0.05,331.06721825138374,44.293458202171,1.5220737649745582,76.10368824872789,0.514,0.0,prosperity,0.01
13,5.0,146.0,22.0,0.05,337.38794982331416,46.69749066385267,1.4730921586694319,73.65460793347161,0.499,0.0,prosperity,0.01
14,5.0,150.0,23.0,0.05,340.621861890249,47.67429056955183,1.364530856999161,68.22654284995805,0.519,0.0,prosperity,0.01
15,5.0,150.0,23.0,0.05,340.621861890249,50.96269535538662,1.336711335912011,66.83556679560056,0.5149999999999999,0.0,prosperity,0.01
16,5.0,152.0,23.0,0.05,344.47624720004484,54.45435530750969,1.3133185610958196,65.66592805479098,0.515,0.0,prosperity,0.01
17,5.0,152.0,23.0,0.05,344.47624720004484,57.441191330914386,1.2846933233702589,64.23466616851294,0.515,0.0,prosperity,0.01
18,5.0,156.0,24.0,0.05,346.3653789808944,62.77204423541982,1.2656297646783221,63.28148823391611,0.5436666666666666,0.0,prosperity,0.01
19,5.0,158.0,24.0,0.05,349.7709719780009,67.83339237050035,1.2647997908985464,63.239989544927326,0.538,12.0,prosperity,0.01
20,6.0,160.0,24.0,0.060000000000000005,351.1756227665324,70.51870989594046,1.2342719287485162,61.71359643742582,0.529,0.0,prosperity,0.01
